Feature,Mean,Std,Min,Max,Q25,Median,Q75,Zeros (%),Out of Range
AU12Mean,0.40944973283059366,0.3271181203541612,4.53978687024344e-05,0.9999546021312976,0.12128685102814481,0.3078879879088422,0.6752647643821981,0.0,0
AU12Variance,0.8463748024983753,0.23891683869764668,0.0,0.9999546021312976,0.7598571376781409,0.9680117934133794,0.9999546021312976,0.056338028169014086,0
AU12ActivationFrequency,0.520352359040482,0.10167817054100331,0.4800161850092542,1.0,0.4999999999999999,0.4999999999999999,0.5,0.0,0
AU15MeanAmplitude,0.21971705376219988,0.24221891423424077,0.0007647464524662,0.9997350297739548,0.06941008371179755,0.11177532831459536,0.2628251796029504,0.0,0
AU4MeanActivation,0.8347508381657048,0.18753019647654492,0.0216862911173542,0.9988930463234376,0.7749388218752344,0.9112729367930137,0.9571108513808668,0.0,0
AU4DurationRatio,0.5214788732394366,0.10138807842622512,0.5,1.0,0.5,0.5,0.5,0.0,0
AU1AU2PeakIntensity,0.55554495923725,0.09415562519176666,0.5355982791849405,0.9999999999999996,0.5355982791849405,0.5355982791849405,0.5355982791849405,0.0,0
AU20ActivationRate,0.5214436646574414,0.10139567535057434,0.4991666674382707,1.0,0.5,0.5,0.5,0.0,0
LipCompressionFrequency,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
BlinkRate,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
BlinkClusterDensity,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
BaselineEyeOpenness,0.15283050407763882,0.1818735748823467,0.0073265813671986,0.7831764232456996,0.02786048750894205,0.06554628368286594,0.23493238802181676,0.0,0
GazeShiftFrequency,0.48193123482142664,0.10257463641827495,0.0,0.5553189324921382,0.5,0.5,0.5,4.295774647887324,0
EyeContactRatio,0.4186712971784982,0.26860181440340203,0.0391868127193431,1.0,0.2706035867869666,0.2706035867869666,0.529955441609955,0.0,0
DownwardGazeFrequency,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
MeanHeadVelocity,0.5181224907527296,0.21006427214482962,0.0,0.9999546021312976,0.4080700041880094,0.47051151313246864,0.5812966826531983,0.028169014084507043,0
HeadVelocityPeak,0.5470115209274748,0.21175773851438337,0.0,0.9999546021312976,0.4317383125387534,0.5086449516491931,0.6350343007061654,0.028169014084507043,0
HeadMotionEnergy,0.5187531271034715,0.20854538884292234,0.0,0.9999546021312976,0.40807000418800926,0.47051151313246864,0.5812966826531981,0.028169014084507043,0
LandmarkDisplacementMean,0.5076351987639138,0.20772178004556383,0.0,0.9999546021312976,0.4064646220155235,0.4530471701835987,0.5541685584795891,0.028169014084507043,0
PostureRigidityIndex,0.555666142982395,0.09334764210334602,0.0,0.9999997893369283,0.5363645934735338,0.5363671470582086,0.5363686129504961,0.028169014084507043,0
OverallAUVariance,0.6648536032742755,0.3165046799949267,0.0,0.9999546021312976,0.36591792091861086,0.6980251412946437,0.9999039901126953,0.028169014084507043,0
FacialEmotionalRange,0.726438128576143,0.26634292466939424,0.0,0.9999546021312976,0.4918563986368395,0.8061957619770838,0.9927376975641385,0.028169014084507043,0
FacialTransitionFrequency,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
NearZeroAUActivationRatio,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
MotionEnergyFloorScore,0.3180967833603186,0.07606717653172747,0.0,0.7930692539702824,0.3171267126955437,0.3171267126955437,0.31712671269690457,0.014084507042253521,0
GestureFrequency,0.4801026482062761,0.10197106539366023,0.0,0.554779235008538,0.5,0.5,0.5,4.295774647887324,0
MicroMotionEnergy,0.46191439552550473,0.24664827482359453,0.0,0.9999546021312976,0.30651614817425776,0.3728769921671797,0.5499120425023345,0.04225352112676056,0
ShoulderElevationIndex,0.47852112676056335,0.10138807842622512,0.0,0.5,0.5,0.5,0.5,4.295774647887324,0
ResponseLatencyMean,0.4966953537416302,0.1129558001005484,0.0,0.7184369130921453,0.5,0.5,0.5,4.295774647887324,0
SpeechOnsetDelay,0.5141628786668886,0.12468028624147742,0.0,0.7310575174308982,0.5,0.5000022646813047,0.5446710560503067,4.295774647887324,0
NodOnsetLatency,0.48624001643246917,0.10763232756662108,0.0,0.7126243160901128,0.5,0.5,0.5,4.295774647887324,0
PauseDurationMean,0.15731617334511025,0.0766101000671265,0.0,0.6494593479206929,0.1369618278230201,0.1369618278230201,0.1369618278257545,0.07042253521126761,0
ExtendedSilenceRatio,0.3180967833603186,0.07606717653172747,0.0,0.7930692539702824,0.3171267126955437,0.3171267126955437,0.31712671269690457,0.014084507042253521,0
ReactionTimeInstabilityIndex,0.7407483526420213,0.19620675126957257,0.0,0.9999546021312976,0.691792486002095,0.7284570981748728,0.7695183330716131,0.04225352112676056,0
